Governador,UF,TotalObitos,TotalCasos,Regiao,Estado
MARCOS JOSE ROCHA DOS SANTOS,Rondônia,1340,65386,,RO
GLADSON DE LIMA CAMELI,Acre,657,27874,,AC
WILSON MIRANDA LIMA,Amazonas,4031,136708,,AM
ANTONIO OLIVERIO GARCIA DE ALMEIDA,Roraima,637,49474,,RR
HELDER ZAHLUTH BARBALHO,Pará,6551,228068,,PA
ANTONIO WALDEZ GÓES DA SILVA,Amapá,704,47935,,AP
MAURO CARLESSE,Tocantins,922,66865,,TO
FLÁVIO DINO DE CASTRO E COSTA,Maranhão,3735,172176,,MA
JOSÉ WELLINGTON BARROSO DE ARAÚJO DIAS,Piauí,2101,94733,,PI
CAMILO SOBREIRA DE SANTANA,Ceará,8921,239062,,CE
MARIA DE FATIMA BEZERRA,Rio Grande do Norte,2377,68627,,RN
JOÃO AZEVEDO LINS FILHO,Paraíba,2804,119987,,PB
PAULO HENRIQUE SARAIVA CÂMARA,Pernambuco,8190,145096,,PE
JOSE RENAN VASCONCELOS CALHEIROS FILHO,Alagoas,2062,86393,,AL
BELIVALDO CHAGAS SILVA,Sergipe,2025,77172,,SE
RUI COSTA DOS SANTOS,Bahia,6648,306629,,BA
ROMEU ZEMA NETO,Minas Gerais,7240,290137,,MG
JOSE RENATO CASAGRANDE,Espírito Santo,3524,129796,,ES
WILSON JOSÉ WITZEL,Rio de Janeiro,18291,262006,,RJ
JOÃO AGRIPINO DA COSTA DORIA JUNIOR,São Paulo,35125,973142,,SP
CARLOS ROBERTO MASSA JUNIOR,Paraná,4378,175982,,PR
CARLOS MOISÉS DA SILVA,Santa Catarina,2765,213066,,SC
EDUARDO FIGUEIREDO CAVALHEIRO LEITE,Rio Grande do Sul,4648,185778,,RS
REINALDO AZAMBUJA SILVA,Mato Grosso do Sul,1278,68325,,MS
MAURO MENDES FERREIRA,Mato Grosso,3372,121145,,MT
RONALDO RAMOS CAIADO,Goiás,4529,202754,,GO
IBANEIS ROCHA BARROS JUNIOR,Distrito Federal,3203,190505,,DF
